&6_car_min;(6 caractŠres minimum);(6 char min);(6 car. minimum)
&PARA_RADIO;ParamŠtres - Radio (1/5);Parameters - Radio (1/5);Parametri - Radio (1/5)
&PARA_RADIO_BASE;ParamŠtres - Radio (1/5) - Base <%s>;Parameters - Radio (1/5) - Base <%s>;Parametri - Radio (1/5) - Base <%s>
&PARA_RADIO_ANTENNES_CABLES;ParamŠtres - Radio (5/5);Parameters - Radio (5/5);Parametri - Radio (5/5)
&PARA_RADIO_ANTENNES_CABLES_BASE;ParamŠtres - Radio (5/5) - Base <%s>;Parameters - Radio (5/5) - Base <%s>;Parametri - Radio (5/5) - Base <%s>
&PARA_RADIO_ENTREE_INITIALE;ParamŠtres - Radio (2/5);Parameters - Radio (2/5);Parametri - Radio (2/5)
&PARA_RADIO_ENTREE_INITIALE_BASE;ParamŠtres - Radio (2/5) - Base <%s>;Parameters - Radio (2/5) - Base <%s>;Parametri - Radio (2/5) - Base <%s>
&PARA_RADIO_J0_0;ParamŠtres - Radio (3/5);Parameters - Radio (3/5);Parametri - Radio (3/5)
&PARA_RADIO_J0_0_BASE;ParamŠtres - Radio (3/5) - Base <%s>;Parameters - Radio (3/5) - Base <%s>;Parametri - Radio (3/5) - Base <%s>
&PARA_RADIO_TX_RX_PG;ParamŠtres - Radio (4/5);Parameters - Radio (4/5);Parametri - Radio (4/5)
&PARA_RADIO_TX_RX_PG_BASE;ParamŠtres - Radio (4/5) - Base <%s>;Parameters - Radio (4/5) - Base <%s>;Parametri - Radio (4/5) - Base <%s>
&PARA_RADIO_IN_PROGRESS;PARA_RADIO_IN_PROGRESS;PARA_RADIO_IN_PROGRESS;PARA_RADIO_IN_PROGRESS
&PARA_REPROMULGATION;ParamŠtres - Repromulgation;Parameters - Repromulgation;Parametri - Ripromulgazione
&PARA_REPROMULGATION_BASE;ParamŠtres - Repromulgation - Base <%s>;Parameters - Repromulgation - Base <%s>;Parametri - Ripromulgazione - Base <%s>
&PARA_STATION;ParamŠtres - Station (1/3);Parameters - Station (1/3);Parametri - Stazione (1/3)
&PARA_STATION_BASE;ParamŠtres - Station (1/3) - Base <%s>;Parameters - Station (1/3) - Base <%s>;Parametri - Stazione (1/3) - Base <%s>
&PARA_TSA_RSA;ParamŠtres - TSA/RSA;Parameters - TSA/RSA;Parametri - TSA/RSA
&PARA_TSA_RSA_BASE;ParamŠtres - TSA/RSA - Base <%s>;Parameters - TSA/RSA - Base <%s>;Parametri - TSA/RSA - Base <%s>
&Parametre_Modifiable;ParamŠtre modifiable;Changing parameter;Parametro modificabile
&Parametre_Modifiable_Persistant;ParamŠtre modifiable et persistant;Changing and persistent parameter;Parametro modificabile e persistente
&Parametre_non_modifiable_fixe;ParamŠtre non modifiable et fixe;Not changing and fixed parameter;Parametro non modificabile e fisso
&Parametre_non_persistant;ParamŠtre non persistant;Not persistent parameter;Parametro non persistente
&Parametre_Persistant;ParamŠtre persistant;Persistent parameter;Parametro persistente
&Parametres;ParamŠtres;Parameters;Parametri
&Parametres_J0_0;ParamŠtres J0.0;J0.0 parameters;Parametri J0.0
&Parametres_M;ParamŠtres;Parameters;Parametri
&PB_LECT_DISQUETTE;ProblŠme de lecture de la disquette;Floppy disk access error;Errore di accesso al dischetto
&PB_MEM_SYSTEM_NO_TCDE;Pb m‚moire systŠme : l'application ne peut pas envoyer la t‚l‚commande;System memory error : the program can't send the remote control message;Errore memoria sistema: il SW non può inviare il messaggio di controllo del telecomando
&PB_SAISIE_CHAMP_CONF;ProblŠme de saisie sur un champ de configuration;Setting field input error;Errore sull'ingresso di un campo di configurazione
&PG_En_Emission;PG en ‚mission;TX PG;PG trasmissione (TX)
&Platform_M;Plate-forme;Platform;Piattaforma
&Plateforme;Plate-forme;Platform;Piattaforma
&Phonie;Phonie;Voice;Fonia
&Phonie_Ctrl;Phonie & Ctrl;Voice & Ctrl;Fonia & Ctrl
&Phonie_M;Phonie & Contr“le;Voice & Control;Fonia & Controllo
&Ports_Phonie;Ports Phonie;Voice Ports;Porti Fonia
&Ports_Phonie_M;Ports Phonie;Voice Ports;Porti Fonia
&Precedent;Pr‚c‚dent;Previous;Precedente
&Quality;Qualit‚;Quality;Qualità 
&QUESTION_ALLUMER_TERMINAL;Voulez-vous allumer le terminal ?;Do you want switch ON the terminal ?;Sei sicuro di voler accendere il terminale?
&QUESTION_EFFACER_LES_CLES;Voulez-vous effacer les cl‚s ?;Do you want clear the keys ?;Sei sicuro di voler cancellare le chiavi?
&QUESTION_ETEINDRE_TERMINAL;Voulez-vous ‚teindre le terminal ?;Do you want switch OFF the terminal ?;Sei sicuro di voler spegnere il terminale?
&QUESTION_FORCAGE_MARCHE_OFF;Voulez-vous d‚sactiver le for‡age de la mise en marche du terminal ?;Do you want desactivate Alarm Override ?;Sei sicuro di voler disattivare il funzionamento forzato del terminale?
&QUESTION_FORCAGE_MARCHE_ON;Voulez-vous activer le for‡age de la mise en marche du terminal ?;Do you want activate Alarm Override ?;Sei sicuro di voler attivare il funzionamento forzato?
&QUESTION_QUITTER_APPLI;Etes-vous s–r de vouloir quitter l'application ?;Do you want to exit?;Sei sicuro di voler uscire?
&QUESTION_STANDBY_OFF;Voulez-vous d‚sactiver le standby ?;Confirm set standby OFF;Sei sicuro di voler disattivare lo standby?
&QUESTION_STANDBY_ON;Voulez-vous activer le standby ?;Confirm set standby ON;Sei sicuro di voler attivare lo standby?
&Quitter;Quitter;Quit;Uscire
&Quitter_M;Quitter;Quit;Uscire
&Raz_Cles;Raz Cl‚s;Clear keys;Reset chiave
&RAZ_RX_FLOW_CONTROL_BUFFER;Efface RX Flow Control Buffer;Clear RX Flow Control Buffer;Cancella RX Flow Control buffer
&RAZ_TX_PG_QUEUES_1_10;Efface TX PG Queues 1 to 10;Clear TX PG Queues 1 to 10;Cancella TX PG Queues 1 - 10
&RAZ_TX_OTHER_PGS_QUEUE;Efface TX Other PGs Queue;Clear TX Other PGs Queue;Cancella TX Other PGs Queue
&RAZ_TX_PG_QUEUE_10;Efface TX PG Queue 10;Clear TX PG Queue 10;Cancella TX PG Queue 10
&RAZ_TX_PG_QUEUE_9;Efface TX PG Queue 9;Clear TX PG Queue 9;Cancella TX PG Queue 9
&RAZ_TX_PG_QUEUE_8;Efface TX PG Queue 8;Clear TX PG Queue 8;Cancella TX PG Queue 8
&RAZ_TX_PG_QUEUE_7;Efface TX PG Queue 7;Clear TX PG Queue 7;Cancella TX PG Queue 7
&RAZ_TX_PG_QUEUE_6;Efface TX PG Queue 6;Clear TX PG Queue 6;Cancella TX PG Queue 6
&RAZ_TX_PG_QUEUE_5;Efface TX PG Queue 5;Clear TX PG Queue 5;Cancella TX PG Queue 5
&RAZ_TX_PG_QUEUE_4;Efface TX PG Queue 4;Clear TX PG Queue 4;Cancella TX PG Queue 4
&RAZ_TX_PG_QUEUE_3;Efface TX PG Queue 3;Clear TX PG Queue 3;Cancella TX PG Queue 3
&RAZ_TX_PG_QUEUE_2;Efface TX PG Queue 2;Clear TX PG Queue 2;Cancella TX PG Queue 2
&RAZ_TX_PG_QUEUE_1;Efface TX PG Queue 1;Clear TX PG Queue 1;Cancella TX PG Queue 1
&Rechercher;Rechercher;Search;Cerca
&REGARD_FORMAT_DATA;Regarder le format de la donn‚e qui est surlign‚e;Check the highlighted data format;Visualizza il formato dati evidenziato
&Re_Initialisation_M;R‚initialisation;Reloading;Ripristinare
&Reinitialisation_Nav_M;R‚initialisation Navigation;Navigation Reset;Ripristinare la Navigazione
&REINIT_NAV;R‚initialisation Navigation;Navigation Reset;Ripristinare la Navigazione
&REINIT_LOAD_COMPLETE;R‚initialisation Chargement termin‚;Load Complete;Cariamento completo
&REINIT_VALEURS_COURANTES;R‚initialisation avec les valeurs courantes;Reset with the Current Data;Ripristinare con i dati attuali
&REINIT_VALEURS_PAR_DEFAUT;R‚initialisation avec les valeurs par d‚faut;Reset with the Default Data;Ripristinare con i dati di default
&Relayage;Relayage;Relay;Relay
&repertoire;<r‚pertoire>;<directory>;<cartella>
&Reseau_M;R‚seau;Network;Rete
&Reseau_variables;R‚seau et Variables par D‚faut;Default Network and Variables;Rete e variabile di Default
&RESERVE;R‚serv‚;Reserve;Riservato
&Restart_default_data;Sortie R‚seau;Net Exit;Uscita Rete
&Retard_cables;Retard Cƒbles;Cables delay;Ritardo Cavi
&SAISIE_INCORRECTE;Saisie incorrecte;Invalid input;Immissione non corretta
&SAISIE_MDP;Saisie de mot de passe;Password input;Immissione del password
&SAISIE_NON_FAITE;Saisie non effectu‚e;Input not completed;Immissione non effetuata
&Sauvegarde;Sauvegarde;Saving;Salvaguardare
&Sauvegarder;Sauvegarder;Save;Salva
&Sauvegarder_M;Sauvegarder;Save;Salva
&Scenario_ODER;Fichier d'initialisation;Initialization File;File di inizializzazione
&Scenario_ODER_M;Fichier d'initialisation;Initialization File;File di inizializzazione
&SDU_Zeroize;Effacement Cl‚s;Clear keys;Cancellazione Chiave
&SDU_Zeroize_M;Effacement Cl‚s;Clear Keys;Cancellazione Chiave
&Securite;S‚curit‚;Security;Sicurezza
&Securite_M;S‚curit‚;Security;Sicurezza
&Select_Arch_To_Edit;S‚lection de l'archive … visualiser;Selection of the recording file to display;Selezione dei record da visualizzare
&SELECT_FIM_FOM_TO_RECORD;S‚lection des FIMs et des FOMs … enregistrer;Select FIMs and FOMs to record;Selezione dei FIM e dei FOM da registrare
&Select_JdB_To_Edit;S‚lection du journal de bord … visualiser;Select the logbook to display;Selezione del diario da visualizzare
&SELECT_TSRD_TO_RECORD;S‚lection des TSRDs … enregistrer;Select TSRDs to record;Selezione di TSRD da registrare
&SELECT_UN_FIC;Veuillez s‚lectionner un fichier !;Select a file !;Seleziona un file!
&Selection_Antennes;S‚lection Antennes;Antennas Selection;Selezione Antenne
&SORTIE_RESEAU;Sortie R‚seau (TDMA Silent);Net Exit (TDMA Silent);Uscita Rete (TDMA Silent)
&Sortie_Reseau;Sortie R‚seau;Net Exit;Uscita Rete
&Sortie_Reseau_M;Sortie R‚seau;Net Exit;Uscita Rete
&Source;Source;Source;Sorgente
&SPV_MSG;Supervision - Messages;Supervision - Messages;Supervizione - Messaggi
&SPV_RESEAU_MIDS;Supervision du r‚seau MIDS - Liste des JU distantes;Supervision of MIDS network - List of distant JU;Supervizione del rete MIDS - Elenco di JU distanti
&SPV_SETS;Supervision - Stored Sets;Supervision - Stored Sets;Supervizione - Stored Sets
&SPV_TERMINAL;Supervision - Terminal;Supervision - Terminal;Supervizione - Terminale
&SPV_TERMINAL_INHIBEE;Supervision du terminal inhib‚e;Supervision of Terminal Disabled;Supervizione del Terminale disattivato
&Status_A_Enregistrer;Status Data Segments … enregistrer ;Status Data Segments to record;Status Data Segments da registrare
&Status_Crypto;Status Crypto;Crypto Status;Stato Crypto
&Suivant;Suivant;Next;Seguente
&Supervision;Supervision;Supervision;Supervisione
&Supervision;Supervision;Supervision;Supervisione
&Supervision_M;Supervision;Supervision;Supervisione
&SUPPR_FIC_CONF_MIDS;Suppression des fichiers de configuration du MIDS;Delete MIDS Configuration Files;Cancellazione dei file di configurazione MIDS
&SUPPR_FIC_IMPOSSIBLE;Suppression impossible d'un fichier;Impossible to delete file;Il file non è cancellabile
&SUPPR_FIC_INIT_ODER;Suppression des fichiers d'initialisation;Delete Initialization files;Cancellazione dei file di inizializzazione
&Suppression_Set_M;Suppression Set;Set Deletion;Cancellazione Set
&Supprimer;Supprimer;Delete;Cancella
&SUPPRIMER;Supprimer;Delete;Cancella
&Supprimer_M;Supprimer;Delete;Cancella
&T1_Temp_Entree_Air;T1 : Temp. Entr‚e Air (øC);T1 : Temp. Air In (°C);T1: Temp. Ingresso Aero (°C)
&T2_Temp_Sortie_Air;T2 : Temp. Sortie Air (øC);T2 : Temp. Air Out (°C);T2: Temp. Uscita Aero (°C)
&Temperature_Critique;Temp‚rature Critique;Critical Temperature;Temperatura critica
&TEST_JU_DISTANTE;Test JU distante;Distant JU Test;Test JU distanti
&TestJUdistante_M;Test JU distante;Distant JU Test;Test JU distanti
&TEXT_NOK_DANS_TEXTE;Il n'y a pas la chaŒne de caractŠres cherch‚e dans le document.;String not found in the document;Non c'è la catena dei caratteri cercata nel documento
&TEXT_NOK_PRECEDENT_TEXTE;Il n'y a pas la chaŒne de caractŠres cherch‚e dans le texte pr‚c‚dent.;String not found in the previous part of document.;Non c'è la catena dei caratteri cercata nel precedente testo
&TEXT_NOK_SUITE_TEXTE;Il n'y a pas la chaŒne de caractŠres cherch‚e dans la suite du document.;String not found in the next part of document.;la stringa dei caratteri non è stata trovata nel resto del documento
&Texte_Libre;Texte libre;Free text;Testo libero
&TEXTE_LIBRE;**Texte libre**;**Free text**;**Testo libero**
&Titre_Charte_Graphique;D‚finition des couleurs utilis‚es;Used colors definition;Definizione degli colori utilizzati
&Track_Number;Track number;Track number;Track number
&TRANS_ALL_DATA_INIT_MIDS;Transfert complet des donn‚es initiales MIDS;All Initial MIDS Data Transfer;Trasferimento completo di dati iniziali MIDS
&TRANS_BLK_DATA_INIT_MIDS;Transfert d'un bloc de donn‚es initiales MIDS;Initial MIDS Data Block Transfer;Trasferimento di un blocco di dati iniziali MIDS
&TRANS_PARA_ANTENNES_CABLES;Transfert ParamŠtres Antennes et Cƒbles;Antennas and Cables Parameters Transfer;Trasferimento Parametri Antenne e Cavi
&TRANS_PARA_CRYPTO_DATE;Transfert ParamŠtres Crypto et Date;Crypto and Date Parameters Transfer;Trasferimento Parametri Crypto e Data
&TRANS_PARA_ENTREE_INITIALE;Transfert ParamŠtres Entr‚e Initiale;Initial Entry Parameters Transfer;Trasferimento Parametri Ingresso Iniziali
&TRANS_PARA_J0_0;Transfert ParamŠtres J0.0;J0.0  Parameters Transfer;Trasferimento Parametri J0.0
&TRANS_PARA_PHONIE;Transfert ParamŠtres Phonie;Voice Parameters Transfer;Trasferimento Parametri Fonia
&TRANS_PARA_PLATEFORME;Transfert ParamŠtres Plate-forme;Platform Parameters Transfer;Trasferimento Parametri Piattaforma
&TRANS_PARA_PORTS_PHONIE;Transfert ParamŠtres Ports Phonie;Voice Ports Parameters Transfer;Trasferimento Parametri Porte Fonia
&TRANS_PARA_POSITIONS;Transfert ParamŠtres Positions;Positions Parameters Transfer;Trasferimento Parametri Posizione
&TRANS_PARA_RADIO;Transfert ParamŠtres Radio;Radio Parameters Transfer;Trasferimento Parametri Radio
&TRANS_PARA_REPROMULGATION;Transfert ParamŠtres Repromulgation;Repromulgation Parameters Transfer;Trasferimento Parametri Ripromulgazione
&TRANS_PARA_STATION;Transfert ParamŠtres Station;Station Parameters Transfer;Trasferimento Parametri Stazione
&TRANS_PARA_TSA_RSA;Transfert ParamŠtres TSA RSA;TSA/RSA Parameters Transfer;Trasferimento Parametri TSA/RSA
&TRANS_PARA_TX_RX_PG;Transfert ParamŠtres TX/RX PG;TX/RX PG Parameters Transfer;Trasferimento Parametri TX/RX PG
&Transferer;Transf‚rer;Transfer;Trasferimento
&TypeFichierDRP;DRP (arch_AAMMJJ.dmp);DRP (arch_AAMMJJhhmmss.dmp);DRP (arch_AAMMGG.dmp)
&TypeFichierRAW;RAW (arch_AAMMJJ.raw);RAW (arch_AAMMJJhhmmss.raw);RAW (arch_AAMMGG.raw)
&TypeFichierRCD;RCD (arch_AAMMJJ.rcd);RCD (arch_AAMMJJhhmmss.rcd);RCD (arch_AAMMGG.rcd)
&UMAT;UMAT;UMAT;UMEI
&UMAT_ALR;UMAT ALR;UMAT ALR;UMEI ALR
&UMAT_CDE;UMAT CDE;UMAT CDE;UMEI CDE
&UMAT_CDE_FORCAGE_MARCHE;For‡age Marche;Alarm Override CDE;Funzionamento forzato
&UMAT_CDE_INCONNUE;Commande Inconnue;Unknown Command;Comando sconosciuto
&UMAT_CDE_MARCHE_ON_OFF;Marche;ON/OFF CDE;ON/OFF CDE
&UMAT_CDE_RAZ_CLES;Raz Cl‚s;Key Zeroise CDE;Reset chiave
&UMAT_CDE_STANDBY;Standby;Sandby CDE;Standby
&UMAT_MIDS_STS;UMAT MIDS STS;UMAT MIDS STS;UMEI MIDS STS
&UMAT_STS_FAIL_TEMP_CRITIQUE;TEMP_CRITIQUE;CRITICAL_TEMP;TEMP_CRITICA
&UNKOWN_CMD_F;Id Message inconnu : %d;Id Message Unknown : %d;Id Messaggio sconosciutto: %d
&Using_Current_Data_M;Avec Valeurs Courantes;Reset with Current Values;Con valori correnti
&Using_Default_Data_M;Avec Valeurs par d‚faut;Reset with Default Values;Con valori di default
&V1_vitesse_turbine_1;V1 : Vitesse Turbine 1 (tr/s);S1 : Speed Turbine 1 (tr/s);V1: Velocità  Turbina 1 (g/s)
&V2_vitesse_turbine_2;V2 : Vitesse Turbine 2 (tr/s);S2 : Speed Turbine 2 (tr/s);V2: Velocità  Turbina 2 (g/s)
&VALID_NOM_FIC;Validation du nom de fichier;Filename Validation;Validazione del nome del file
&Validity;Validit‚;Validity;Validità 
&Valider;Valider;Valid;Convalida
&VALIDER;Valider;Valid;Convalida
&VERIF_DISQUETTE_INSEREE;V‚rifiez que la disquette est bien ins‚r‚e;Check the floppy disk;Controlla che il dischetto è corretamente inserito
&VERIF_FORMAT_NOM_CHAMP;Placer le curseur sur le nom du champ pour v‚rifier le format;Place the cursor on the name of the field to check the format;Spostare il cursore sul nome del campo per verificare il formato
&VERIF_FORMAT_OBJ_CONF;Placer le curseur sur l'objet de configuration pour v‚rifier le format;Place the cursor on the settings object  to check the format;Spostare il cursore sul oggetto di configurazione per verificare il formato
&VERROU_APPLI;Verrouillage de l'application;Lock the program;Lock il SW
&Verrouiller;Verrouiller;Lock;Lock
&Verrouiller_M;Verrouiller;Lock;Lock
&Vide;Vide;Empty;Vuoto
&Visualiser;Visualiser;Display;Visualizzare
&Visualiser_Arch_Externe_M;Visualiser archive externe;Display External Recording;Visualizzare la registrazione esterna
&Visualiser_Arch_Local_M;Visualiser archive courante;Display Current Recording;Visualizzare la registrazione attuale
&Visualiser_Arch_TSDF_M;Visualiser archive TSDF;Display TSDF Recording;Visualizzare la registrazione TSDF
&Visualiser_M;Visualiser;Display;Visualizzare
&VISU_POSITION_STATIONS;Visualisation : Position des stations;Display : Location of Stations;Visualizzazione: Posizione delle Stazione
&ZoomIn;Zoom avant;Zoom In;Zoom in avanti
&ZoomOut;Zoom arriŠre;Zoom Out;Zoom in indietro
&Zoom_Relay;Zoom Relay;Zoom Relay;Zoom Relay
